BILL_CUSTOMER_SID,recency,frequency,monetary,rolling_freq,rolling_monetary,freq_trend,monetary_trend,cluster
3062.0,98,80,17776.33,80.0,17776.33,,,1
3063.0,99,34,14429.19,34.0,14429.19,,,1
3065.0,97,216,106377.55,108.0,53188.775,106.0,140.96328401134275,1
3068.0,104,15,10670.65,15.0,10670.65,,,1
3069.0,104,15,3477.44,15.0,3477.44,,,1
3145.0,97,1,3240.69,1.0,3240.69,,,1
3199.0,115,20,474.15999999999997,20.0,474.15999999999997,,,1
3232.0,97,378,306190.38,378.0,306190.38,,,0
3241.0,105,13,2154.94,13.0,2154.94,,,1
3256.0,103,1,-713.7,1.0,-713.7,,,1
3271.0,98,6,43051.520000000004,6.0,43051.520000000004,,,1
3285.0,111,2,14516.3,2.0,14516.3,,,1
3322.0,101,2,38826.0,2.0,38826.0,,,1
3324.0,112,1,8208.0,1.0,8208.0,,,1
3326.0,98,1,26999.7,1.0,26999.7,,,1
3404.0,112,1,4220.0,1.0,4220.0,,,1
3413.0,98,15,7789.91,15.0,7789.91,,,1
3418.0,107,11,22955.21,11.0,22955.21,,,1
3427.0,105,12,2494.49,12.0,2494.49,,,1
3431.0,100,10,15583.7,10.0,15583.7,,,1
3437.0,97,14,16160.060000000001,14.0,16160.060000000001,,,1
3440.0,106,2,5907.87,2.0,5907.87,,,1
3444.0,107,2,8170.59,2.0,8170.59,,,1
3448.0,107,6,8179.63,6.0,8179.63,,,1
3452.0,99,4,3064.74,4.0,3064.74,,,1
3454.0,97,1,640.16,1.0,640.16,,,1
3455.0,98,4,3330.72,4.0,3330.72,,,1
3460.0,98,159,191995.5261,159.0,191995.5261,,,0
3465.0,97,1,823.2,1.0,823.2,,,1
3477.0,99,2,527.04,2.0,527.04,,,1
3481.0,97,25,20960.979,25.0,20960.979,,,1
3628.0,97,440,36748.1825,440.0,36748.1825,,,0
3842.0,97,296,1944.8799999999999,296.0,1944.8799999999999,,,0
3881.0,97,40,42345.32,40.0,42345.32,,,1
3885.0,101,2,987.27,2.0,987.27,,,1
3897.0,113,22,4847.81,22.0,4847.81,,,1
3902.0,97,5,0.0,5.0,0.0,,,1
3907.0,100,56,17279.88,28.0,8639.94,54.0,141.63990024937658,1
3910.0,101,6,355.19,6.0,355.19,,,1
3921.0,97,1289,1381474.45,644.5,690737.225,1287.0,74151.217928073,4
3934.0,99,88,90736.74,88.0,90736.74,,,1
3941.0,112,9,5702.42,9.0,5702.42,,,1
3971.0,99,18,34922.28,18.0,34922.28,,,1
3980.0,113,14,3867.82,14.0,3867.82,,,1
3983.0,99,23,4899.74,23.0,4899.74,,,1
3989.0,97,988,455027.84,988.0,455027.84,,,3
3991.0,97,466,185409.44,233.0,92704.72,231.0,2789.8903779551274,0
3994.0,97,21,7283.099999999999,21.0,7283.099999999999,,,1
3997.0,108,14,5786.3,14.0,5786.3,,,1
3998.0,104,11,3529.87,11.0,3529.87,,,1
4004.0,99,89,40402.119999999995,89.0,40402.119999999995,,,1
4005.0,100,19,8066.99,19.0,8066.99,,,1
4006.0,100,14,683.3399999999999,14.0,683.3399999999999,,,1
4008.0,97,18,8309.17,18.0,8309.17,,,1
4011.0,99,49,8148.78,49.0,8148.78,,,1
4014.0,105,4,6830.4,4.0,6830.4,,,1
4018.0,97,18,4956.93,18.0,4956.93,,,1
4027.0,98,290,60696.38,290.0,60696.38,,,0
4030.0,100,99,38125.1,99.0,38125.1,,,1
4034.0,100,8,6409.69,8.0,6409.69,,,1
4036.0,97,1,0.0,1.0,0.0,,,1
4045.0,97,14,-356.73000000000013,14.0,-356.73000000000013,,,1
4048.0,97,50,9109.56,50.0,9109.56,,,1
4051.0,97,43,25785.0,43.0,25785.0,,,1
4053.0,98,141,56251.65,141.0,56251.65,,,1
4060.0,97,87,94029.53,87.0,94029.53,,,1
4063.0,97,266,62103.17,266.0,62103.17,,,0
4298.0,99,1,0.0,1.0,0.0,,,1
4313.0,103,1,-32.95,1.0,-32.95,,,1
4460.0,101,14,4633.96,14.0,4633.96,,,1
4760.0,104,34,61291.74,34.0,61291.74,,,1
4965.0,107,5,344.5,5.0,344.5,,,1
5171.0,99,6,100800.0,6.0,100800.0,,,1
5650.0,97,44,8127.23,44.0,8127.23,,,1
6025.0,97,2,-264.06999999999994,2.0,-264.06999999999994,,,1
6296.0,100,53,33983.0,53.0,33983.0,,,1
6454.0,112,20,4694.37,20.0,4694.37,,,1
6476.0,111,1,1860.0,1.0,1860.0,,,1
6733.0,99,6,-1958.91,6.0,-1958.91,,,1
6780.0,101,4,514.48,4.0,514.48,,,1
6797.0,99,67,26501.64,67.0,26501.64,,,1
7825.0,98,158,49351.04,158.0,49351.04,,,1
8516.0,107,2,3868.1600000000003,2.0,3868.1600000000003,,,1
8524.0,99,18,18010.52,18.0,18010.52,,,1
8560.0,106,4,6164.32,4.0,6164.32,,,1
8563.0,97,88,62464.840000000004,44.0,31232.42,86.0,572.2309248023533,1
8570.0,108,7,3557.75,7.0,3557.75,,,1
8614.0,99,127,23189.64,127.0,23189.64,,,1
8630.0,108,16,4358.83,16.0,4358.83,,,1
8661.0,98,14,2659.41,14.0,2659.41,,,1
9292.0,100,6,9702.65,6.0,9702.65,,,1
9371.0,107,29,571.0600000000001,29.0,571.0600000000001,,,1
9535.0,100,5,66751.1,5.0,66751.1,,,1
13852.0,113,1,383.31,1.0,383.31,,,1
15040.0,98,3,1933.46,3.0,1933.46,,,1
15780.0,105,6,3650.1,6.0,3650.1,,,1
16435.0,104,19,3929.66,19.0,3929.66,,,1
16449.0,106,13,23350.920000000002,13.0,23350.920000000002,,,1
17017.0,99,151,82124.27,151.0,82124.27,,,1
17039.0,111,3,1318.1,3.0,1318.1,,,1
17147.0,113,26,18944.52,26.0,18944.52,,,1
17148.0,101,1,437.0,1.0,437.0,,,1
17175.0,101,3,919.48,3.0,919.48,,,1
17351.0,98,8,3720.06,8.0,3720.06,,,1
17527.0,113,2,437.54,2.0,437.54,,,1
17582.0,111,1,-1090.56,1.0,-1090.56,,,1
17635.0,98,109,65649.92,109.0,65649.92,,,1
17663.0,111,3,3853.75,3.0,3853.75,,,1
18012.0,100,21,3959.81,21.0,3959.81,,,1
18023.0,100,7,76603.8,7.0,76603.8,,,1
18211.0,105,1,975.195,1.0,975.195,,,1
18353.0,104,14,29123.4,14.0,29123.4,,,1
18524.0,111,2,753.06,2.0,753.06,,,1
18608.0,110,6,-2349.06,6.0,-2349.06,,,1
18745.0,104,2,338.94,2.0,338.94,,,1
18870.0,99,4,55.2,4.0,55.2,,,1
18902.0,97,63,12171.52,63.0,12171.52,,,1
