CUSTOMER_ID,TOTAL_REVENUE,CLUSTER,SEGMENT
35103.0,14780.039999999999,2,Segment 8
35143.0,0.0,2,Segment 8
35224.0,-59.23,2,Segment 8
35299.0,-36721.53,2,Segment 8
35455.0,344.76,2,Segment 8
35526.0,244203.6029,6,Segment 5
35779.0,489.9,2,Segment 8
35850.0,4136.16,2,Segment 8
35858.0,-54.11,2,Segment 8
35880.0,2686.1,2,Segment 8
36083.0,3894.21,2,Segment 8
36096.0,703.0,2,Segment 8
36103.0,22177.62,2,Segment 8
36161.0,967.442,2,Segment 8
36257.0,723.0,2,Segment 8
36315.0,70.77,2,Segment 8
36334.0,0.0,2,Segment 8
36338.0,13515.02,2,Segment 8
36360.0,588.8,2,Segment 8
36407.0,-1000.0,2,Segment 8
36423.0,2088.16,2,Segment 8
36434.0,1637.8,2,Segment 8
36436.0,1773.1,2,Segment 8
36449.0,11869.14,2,Segment 8
36462.0,1772.0,2,Segment 8
36466.0,347.6,2,Segment 8
36490.0,2851.2,2,Segment 8
36497.0,387.84,2,Segment 8
36498.0,1628.0,2,Segment 8
36499.0,2493.6,2,Segment 8
36529.0,6173.28,2,Segment 8
36564.0,8513.3,2,Segment 8
36602.0,938.81,2,Segment 8
36613.0,226993.09,6,Segment 5
36616.0,6006.0,2,Segment 8
36868.0,566.7,2,Segment 8
36891.0,892.17,2,Segment 8
36916.0,168.07,2,Segment 8
36947.0,386.6,2,Segment 8
36949.0,938.69,2,Segment 8
36965.0,-4.65,2,Segment 8
36971.0,10067.68,2,Segment 8
36983.0,217.48,2,Segment 8
36991.0,182.38,2,Segment 8
37004.0,1744.15,2,Segment 8
37009.0,426.0,2,Segment 8
37027.0,3644.25,2,Segment 8
37032.0,430.07,2,Segment 8
37034.0,4030.99,2,Segment 8
37038.0,1573.73,2,Segment 8
37041.0,443.2,2,Segment 8
37062.0,21476.0,2,Segment 8
37066.0,1242.0,2,Segment 8
37072.0,10752.59,2,Segment 8
37074.0,7029.0,2,Segment 8
37081.0,13037.48,2,Segment 8
37093.0,535.97,2,Segment 8
37100.0,874.37,2,Segment 8
37103.0,1161.8200000000002,2,Segment 8
37109.0,233.3,2,Segment 8
37119.0,236.63,2,Segment 8
37129.0,1056.66,2,Segment 8
37135.0,367.4,2,Segment 8
37145.0,456.03,2,Segment 8
37150.0,110.36,2,Segment 8
37153.0,247.9,2,Segment 8
37159.0,824.47,2,Segment 8
37163.0,171.68,2,Segment 8
37171.0,96.71,2,Segment 8
37177.0,154.32,2,Segment 8
37180.0,18701.4,2,Segment 8
37187.0,196.35999999999999,2,Segment 8
37192.0,4050.98,2,Segment 8
37194.0,272.29,2,Segment 8
37195.0,498.5,2,Segment 8
37222.0,-129.29000000000002,2,Segment 8
37254.0,780.29,2,Segment 8
37270.0,179.19,2,Segment 8
37277.0,1012.4200000000001,2,Segment 8
37281.0,1628.3,2,Segment 8
37311.0,41492.25,7,Segment 7
37320.0,409.75,2,Segment 8
37324.0,1167.58,2,Segment 8
37328.0,1845.72,2,Segment 8
37329.0,987.0,2,Segment 8
37330.0,760.72,2,Segment 8
37344.0,-204.2,2,Segment 8
37346.0,4894.24,2,Segment 8
37352.0,12514.3,2,Segment 8
37355.0,9343.64,2,Segment 8
37361.0,176.67000000000002,2,Segment 8
37367.0,3189.9,2,Segment 8
37382.0,3714.38,2,Segment 8
37383.0,348.0,2,Segment 8
37403.0,280.93,2,Segment 8
37405.0,5607.15,2,Segment 8
37407.0,153.28,2,Segment 8
37414.0,0.0,2,Segment 8
37453.0,5353.85,2,Segment 8
37459.0,45028.0,7,Segment 7
37480.0,144.76,2,Segment 8
37488.0,4306.75,2,Segment 8
37489.0,3944.6499999999996,2,Segment 8
37490.0,6596.7,2,Segment 8
37493.0,2600.08,2,Segment 8
37494.0,-209.53,2,Segment 8
37501.0,1625.69,2,Segment 8
37505.0,180.37,2,Segment 8
37509.0,270.4,2,Segment 8
37515.0,1093.28,2,Segment 8
37518.0,1010.92,2,Segment 8
37521.0,-895.9000000000001,2,Segment 8
37529.0,6960.0,2,Segment 8
37531.0,0.0,2,Segment 8
37533.0,313.27,2,Segment 8
37537.0,563.64,2,Segment 8
37542.0,326.44,2,Segment 8
37544.0,12885.18,2,Segment 8
37549.0,30073.33,7,Segment 7
37554.0,5290.0,2,Segment 8
37602.0,213.68,2,Segment 8
37679.0,4372.24,2,Segment 8
37681.0,191709.56,6,Segment 5
37752.0,490.0,2,Segment 8
37756.0,-439.07,2,Segment 8
38805.0,700.4,2,Segment 8
38820.0,0.0,2,Segment 8
38877.0,49405.36,7,Segment 7
39056.0,5355.0,2,Segment 8
39145.0,0.0,2,Segment 8
39516.0,0.0,2,Segment 8
39648.0,16086.43,2,Segment 8
39653.0,6875.28,2,Segment 8
39718.0,0.0,2,Segment 8
39818.0,315.48,2,Segment 8
39851.0,1740.38,2,Segment 8
39853.0,7226.64,2,Segment 8
39907.0,1835.81,2,Segment 8
39910.0,18218.0,2,Segment 8
39919.0,3607.9,2,Segment 8
39925.0,17.36,2,Segment 8
39942.0,8401.93,2,Segment 8
39948.0,854.8199999999999,2,Segment 8
39964.0,811.0,2,Segment 8
39984.0,-151.0,2,Segment 8
40022.0,0.97,2,Segment 8
40049.0,5894.0,2,Segment 8
40051.0,286.6,2,Segment 8
40055.0,434.35,2,Segment 8
40114.0,-16.97,2,Segment 8
40117.0,2643.16,2,Segment 8
40118.0,60895.00000000001,7,Segment 7
40125.0,494.0,2,Segment 8
40136.0,1861.0,2,Segment 8
40151.0,1825.99,2,Segment 8
40176.0,4561.63,2,Segment 8
40179.0,66.9,2,Segment 8
40185.0,14517.4,2,Segment 8
40201.0,1410.97,2,Segment 8
40232.0,-3271.0699999999997,2,Segment 8
40240.0,19787.05,2,Segment 8
40259.0,410.2,2,Segment 8
40273.0,3604.8,2,Segment 8
40282.0,2588.5099999999998,2,Segment 8
40302.0,-83.39,2,Segment 8
40303.0,1103.57,2,Segment 8
